DocumentID,Words (split by space),disgust
test476,deaths as bird flu flares in asia,?
test477,hamas fatah leaders pledge to meet until they reach agreement,?
test478,officers had rapport with alleged abductor,?
test479,no e book for harry potter vii,?
test480,review nokia xpress music,?
test481,can t do this anymore not jack,?
test482,black hole triplets spotted,?
test483,israel weighs old city project webcast,?
test484,indonesian bird flu deaths hit,?
test485,somali refugees cut off from aid,?
test486,microsoft downplays vista speech recognition hack,?
test487,next island hot spot st lucia,?
test488,italy to hold no show trial of bronx gi in iraq slay,?
test489,rescued boys parents hail miracle,?
test490,canadians tracked in child porn ring,?
test491,teen hacks venezuelan government web sites,?
test492,russia plans new icbms nuclear subs,?
test493,gere cheers sex workers in aids fight,?
test494,study male sweat causes female hormones to rise,?
test495,collision on icy road kills,?
test496,surprise china cuts price of gas,?
test497,what the godfather of soul meant to me,?
test498,new mars orbiter spots pathfinder landing site,?
test499,mass venezuela opposition rally,?
test500,glamour and borat at golden globes,?
test501,terror officials see al qaeda chiefs regaining power,?
test502,ivrea journal in italian town a civics lesson from pelting neighbors,?
test503,iraqi sunni lands show new oil and gas promise,?
test504,princess and heir of franz ferdinand fights to repeal a law and gain a castle,?
test505,a film star in kampala conjuring aminos ghost,?
test506,militants attack u s base in iraq,?
test507,north africa feared as staging ground for terror,?
test508,iran says sunnis using pakistan as base planned fatal bombing,?
test509,anglicans rebuke u s branch on same sex unions,?
test510,homemade bombs kill on indian train,?
test511,al qaeda chiefs are seen to regain power,?
test512,chvez threatens to jail violators of price controls,?
test513,bush declares iran s arms role in iraq is certain,?
test514,accord on north korea is announced,?
test515,u s says powerful iraqi cleric is living in iran,?
test516,baghdad plan is a success iraq prime minister tells bush,?
test517,iraqi sunni lands show new oil and gas promise,?
test518,dispute over iraqi cleric said to have gone to iran,?
test519,planning seen in iraqi attacks on u s copters,?
test520,in the world of life saving drugs a growing epidemic of deadly fakes,?
test521,basics a mammal in winter with a furnace of her own,?
test522,books on science the problems in modeling nature with its unruly natural tendencies,?
test523,believing scripture but playing by science s rules,?
test524,a familiar and prescient voice brought to life,?
test525,findings a cool million for a climate backup plan,?
test526,call it serendipity a missing piece of washington s war tent is found,?
test527,free will now you have it now you don t,?
test528,archaeologists find signs of early chimps tool use,?
test529,wizardry at harvard physicists move light,?
test530,the summit a slap in the face of the palestinians,?
test531,moscow says palestine israeli contacts key to mideast peace,?
test532,mideast summit edns with little progress,?
test533,india decries an act of sabotage,?
test534,pakistan india peace talks planned despite bombings,?
test535,czechs poles get missile warning,?
test536,russia warns us against missile bases in east europe,?
test537,cheney starts visit to japan australia,?
test538,china cheney shores up the trilateral alliance,?
test539,iraq insurgents attack us base,?
test540,us soldiers die in day of violence,?
test541,iraqi suicide attack kills two us troops as militants fight purge,?
test542,iran reneges on nuclear payments to russia,?
test543,top colombia official resigns,?
test544,colombia fm resigns after relatives arrests for militia links,?
test545,foreign minister of colombia quits in scandal,?
test546,new zealand unlikely to allow crippled japanese whaler,?
test547,damaged japanese whaling ship may resume hunting off antarctica,?
test548,japanese whaling ship won t accept help,?
test549,iran top n envoy heads for vienna for nuke talks,?
test550,victims of air india still wait for justice,?
test551,kanishka bombing case inquiry judge threatens to quit,?
test552,judge threatens to shut down air india inquiry,?
test553,royal rescues presidential hopes with commanding performance,?
test554,royal seeks to revive french bid,?
test555,sarkozy comfort zone offers a royal opportunity,?
test556,hicks first in line for trial bush says,?
test557,australia tells bush to speed up guantanamo trial,?
test558,howard presses bush on terror suspect,?
test559,france ends toxic alert at canadian embassy in paris,?
test560,paris police investigate package at canadian embassy,?
test561,false alarm at canadian embassy in paris,?
test562,afghan forces retake town that was overrun by taliban,?
test563,taliban seize rural district in southwest as police flee,?
test564,afghan poppy war alienates farmers,?
test565,will north korea honor pledge this time,?
test566,kim jong il bans japanese cars in north korea,?
test567,iran vs north korea not all enemies are equal,?
test568,catholic archbishop outlines anglican merger hopes,?
test569,anglican and catholic churches could merge,?
test570,us helicopter crash kills troops in afghanistan,?
test571,eight us soldiers killed in zabul helicopter crash,?
test572,arroyo lauds passage of anti terror bill,?
test573,house passes anti terrorism measure manila,?
test574,livingstone s transport empire may extend,?
test575,london is pace setter on congestion toll says mayor,?
test576,protest greets congestion charge s westward push,?
test577,thailand attacks kill three injure,?
test578,thai govt moves to smooth over relations with south,?
test579,bombings say muslim rebels won t negotiate,?
test580,roots of autism more complex than thought,?
test581,largest ever autism study identifies two genetic culprits,?
test582,canadian breakthrough offers hope on autism,?
test583,beware of peanut butter pathogens,?
test584,experts offer advice on salmonella,?
test585,experts issue new heart disease guidelines for women,?
test586,for women aspirin a day could keep stroke away,?
test587,high cholesterol raises stroke risk healthy women,?
test588,cooked chicken breasts join tainted food recalls,?
test589,ready to eat chicken breasts recalled due to suspected listeria,?
test590,fully cooked chicken strips recalled,?
test591,committee debates cancer vaccine plan,?
test592,stop cancer with a shot,?
test593,mln birds to be vaccinated from bird flu near moscow,?
test594,thousands tested after russian h n outbreak,?
test595,russian bird flu outbreak is deadly asian strain,?
test596,bernard matthews to lay off up to workers,?
test597,matthews lays off turkey workers,?
test598,reopening bird flu hitfactory ignores risks poultryman,?
test599,goodbye to girlhood,?
test600,media cited for showing girls as sex objects,?
test601,sexualisation harms young girls,?
test602,a shot in the arm,?
test603,thousands line up to get late flu shots,?
test604,king county offering some free flu vaccines,?
test605,bush vows cooperation on health care,?
test606,health returns as hot issue in race,?
test607,small business owners find bush health plan appealing,?
test608,pediatricians say more cord blood is needed now,?
test609,whether to save cord blood can be puzzle for parents,?
test610,retinal implant helping blind people see again,?
test611,indonesia will not share flu samples,?
test612,health canada issues advice on canned tuna,?
test613,cholesterol link in diabetes study,?
test614,pig cells hope for diabetes cure,?
test615,sick hearts switch on a fetal gene,?
test616,foetal mechanism helps heart failure,?
test617,planned cesareans not risk free group warns,?
test618,scientists tout cocoa s health benefits,?
test619,feeding your brain new benefits found in chocolate,?
test620,some cocoa may improve brain blood flow,?
test621,lawyer for deceased nazi era collaborator papon vows to bury him,?
test622,cocoa could be antidote to age related diseases says new study,?
test623,china denies reports of north korean apology,?
test624,hungarian opposition calls for vote after violence escalates,?
test625,au regrets sudan s expulsion of un envoy,?
test626,bush officials no big move in iraq plan,?
test627,opponent is put on the spot over remarks about clinton,?
test628,house ethics panel talks to hastert aide,?
test629,bellsouth says profit rises on cingular earnings,?
test630,enron boss gets year sentence,?
test631,sony apologizes for battery recall,?
test632,google unveils do it yourself search engine,?
test633,firefox hits the web,?
test634,oracle world opens with dell unveiling amd powered computers,?
test635,seahawks qb hasselbeck out weeks,?
test636,marathon winner released from hospital,?
test637,punter charged with stabbing asks to live outside state,?
test638,allmendinger joining toyota team in nascar,?
test639,trying to assess the damage in cleveland,?
test640,bryant s boot may have salvaged bucs season,?
test641,this week in auto racing october october,?
test642,merriman violation stuns ex teammate,?
test643,bruce revells in upset,?
test644,steelers roethlisberger has concussion,?
test645,arthurs upsets robredo in first round at the st petersburg open,?
test646,mbeki world cup planning on track,?
test647,clinical everton show moyes means business,?
test648,ms adds office to vista coupon program,?
test649,one search does not fit all,?
test650,apple s dark secret the claim,?
test651,bad weather cancels men s downhill,?
test652,cool millions for youtube founders,?
test653,london market a shopping dining haven,?
test654,jackass star marries childhood friend the secrets people reveal,?
test655,audio slide show a love story lasting years,?
test656,microsoft to release next generation phone,?
test657,body shop s roddick has hepatitis c,?
test658,teen allegedly armed by mom turns self in,?
test659,oxfam action needed for chad,?
test660,violence continues at disputed holy site,?
test661,storm leaves behind major travel troubles,?
test662,u s troops killed hunting weapons cache,?
test663,china s friends highlights web freedoms,?
test664,nato afghanistan peace by,?
test665,alaska s northern lights captivate japanese,?
test666,smith can t be buried until hearing,?
test667,spacewalker sets new u s record,?
test668,fortune india the superpower think again,?
test669,kerry blasts escalation of misguided war,?
test670,anna nicole claimant a prince of a guy,?
test671,ronnie and eto o hug and make up,?
test672,best of the chicago auto show,?
test673,grey s betty scrubs get boost,?
test674,massive mud traps dozens of families,?
test675,edwards blogger quits becomes journalistic martyr,?
test676,town packs gym to mourn killed in fire,?
test677,spain ahead although nadal is out,?
test678,ecb holds rates at percent,?
test679,iran rejects us claims of supplying weapons in iraq,?
test680,jakarta begins disinfection,?
test681,rowling heartbroken euphoric at potter s end,?
test682,apple revs up mac attacks on vista,?
test683,fear hinders black marrow donation,?
test684,texan allegedly joined somalia rebel plot,?
test685,u s to allow iraqi refugees,?
test686,japan whaling activists terrorists,?
test687,hannibal bites the big one,?
test688,women protest pakistan demolition,?
test689,wii news for gamers,?
test690,democrats look beyond symbolic vote on iraq,?
test691,portugal to vote on abortion laws,?
test692,frustration rises as north korea nuclear talks stall,?
test693,horse teeth give details of ancient big chill,?
test694,scam lures victims with free puppy offer,?
test695,two koreas to resume talks,?
test696,mickelson driving force at masters,?
test697,england opt for bopara over loye,?
test698,create own thrillville for a wild ride,?
test699,edwards campaign blogger quits amid catholic controversy,?
test700,judge preserve anna nicole s body,?
test701,dolphins sea lions may report for duty soon,?
test702,nasdaq lse battle nears deadline,?
test703,a personal plea for hpv vaccine plan,?
test704,u s opens door for iraqi refugees,?
test705,swiss plane crashes at moscow airport,?
test706,study napping might help heart,?
test707,myspace sales surging,?
test708,telecoms giant slashes jobs,?
test709,air france klm profit rises,?
test710,uganda parliament votes to send troops to somalia,?
test711,king and queen reign at british film awards,?
test712,murphys rule box office with norbit,?
test713,thousands rally in lebanon,?
test714,yahoo s mission quest,?
test715,area should get inches of snow today,?
test716,miss brazil wins lawsuit competition,?
test717,snow wreaks havoc in east midwest,?
test718,the secrets people reveal,?
test719,research supports medicinal marijuana,?
test720,all african amputee football games kick off,?
test721,group video shows chopper go down,?
test722,sale of chrysler possible,?
test723,russia condemns terrorist acts on buses outside beirut,?
test724,technology may save india s river dolphins,?
test725,airbus a superjumbo takes off,?
test726,naps are great for chaps,?
test727,female astronaut sets record,?
test728,corn stoves popping up in u s homes,?
test729,iraq closes borders with syria and iran,?
test730,the troubling ending of the departed,?
test731,vietnamese bank plans ipo listing,?
test732,toyota s scion parks in second life,?
test733,obama will run in,?
test734,cagney lacey finally coming to dvd,?
test735,merkel stop iran,?
test736,salt lake city mall shooter was teenager,?
test737,female astronaut sets record,?
test738,oil holds at,?
test739,obama announces presidential bid,?
test740,tell your boss naps are good for you,?
test741,serbia rejects united nation s kosovo plan,?
test742,amish discuss shootings,?
test743,jail me i ate ivory coast chocolate,?
test744,can north korea be trusted,?
test745,tourism lags in bush s hometown,?
test746,astronaut s arrest tests nasa s mettle,?
test747,man gets second chance at space ride,?
test748,go ahead take a nap science says,?
test749,weekly nielsen will lost find its way back,?
test750,brith airways baggage charges cause confusion,?
test751,indonesian with bird flu dies,?
test752,st louis poised for entertainment upswing,?
test753,new york city may ban ipods while crossing street,?
test754,boy allegedly told to kill by mom gives up,?
test755,gray wolves off endangered list,?
test756,vista s hyped security will be tested,?
test757,uk police slammed over terror raid,?
test758,mogadishu residents flee blasts,?
test759,bomb kills on military bus in iran,?
test760,warioware wii make perfect fit,?
test761,u s at odds with cleric s aide,?
test762,desperate iraqi mother relies on militia for help,?
test763,full details of the eu report on iran,?
test764,singer on cowell glad he was mean,?
test765,jones faces europe meetings snub,?
test766,beckham goal helps real snatch win,?
test767,guinea plan offices close as country declares emergency,?
test768,japan s economy grows,?
test769,united nations peacekeepers raid haitian slum,?
test770,work starts on arctic seed vault,?
test771,social networking goes mobile,?
test772,beauticians cut curl offer stroke prevention info,?
test773,siesta cuts risk of heart disease death study finds,?
test774,thomas cook to merge with mytravel,?
test775,nap your way to a successful career,?
test776,village buried by inches of snow,?
test777,oprah announces new book club pick,?
test778,the science of love and lust,?
test779,northeaster cancels flights shuts schools,?
test780,napping may be good for your heart,?
test781,ryan o neal injured son s girlfriend,?
test782,chrysler s valentine s day massacre,?
test783,madrid bombings trial begins,?
test784,fight starts over hpv vaccine,?
test785,autos drive european gains,?
test786,james brown s partner can get her things,?
test787,auto show canceled,?
test788,uk luxury maker burberry made in china,?
test789,on the job naps might cut heart risk,?
test790,no florida survives rupp arena streak hits,?
test791,j k rowling marks spot of potter s end,?
test792,gronholm takes a commanding lead,?
test793,howard slams obama on iraq policy,?
test794,manila hints at ransom approval,?
test795,champion murray too good for kim,?
test796,g yen skates by yuan singled out,?
test797,gunman was srebrenica survivor,?
test798,cutting through the clutter to get things done,?
test799,mother lohan is doing great in rehab,?
test800,who s going to win at the grammys,?
test801,libby defense upsets judge rests,?
test802,breakup rings find new homes,?
test803,gronholm ahead as solberg crashes,?
test804,norbit a waste of murphy,?
test805,rocky start for bangkok airport,?
test806,dead in lebanese minibus bombings,?
test807,sex torture claims hit russia army,?
test808,mega marsupials once roamed australia,?
test809,rupert murdoch s secret tivo,?
test810,update plane crashes at moscow airport no passengers,?
test811,hpv vaccination stirs heated debate in america,?
test812,court tv accused killer tells jury a love story,?
test813,whistle blowing web site exposed,?
test814,start late retire rich,?
test815,somali pm vows to bring islamists to justice,?
test816,swingers more common than most think,?
test817,anna nicole smith fans mourn in cyberspace,?
test818,antibiotic ketek more dangerous than thought,?
test819,time to book your cruise,?
test820,blazing angels for ps fails to soar,?
test821,north korea aid demand stall talks,?
test822,cartoon network head steps down,?
test823,malaysia aggressively wooing tourists,?
test824,anna nicole smith s bahamas home seized,?
test825,andromeda involved in galactic collision,?
test826,rwanda mulling kid limit for families,?
test827,wilkinson sets record in tame win,?
test828,army engineers say dam safe,?
test829,france al qaeda suspects arrested,?
test830,utah gunman survived srebrenica,?
test831,creating a whole album in a month,?
test832,india to test new nuclear missile,?
test833,g to china ease exchange rate grip,?
test834,hatton hands back ibf title again,?
test835,bernanke economy healthy but,?
test836,mickelson sutherland share lead,?
test837,napping is good for your heart study finds,?
test838,princess masako author no regrets,?
test839,students use im lingo in essays,?
test840,malaysia launches tourism campaign,?
test841,study africa s internet gap getting wider,?
test842,travel chaos as heavy snow hits uk,?
test843,paula abdul i have never been drunk,?
test844,salmonella outbreak traced to peanut butter,?
test845,putin u s force fostering nuke ambitions,?
test846,nuke detectors to ring new york official says,?
test847,double bus bombing kills three in lebanon,?
test848,davydenko out as seeds scattered,?
test849,obama i m running for president,?
test850,paterson boots scotland to victory,?
test851,african americans are organ donors these days but what about bone marrow,?
test852,study on the job naps might help heart,?
test853,guinea capital largely calm under curfew marital law,?
test854,bosses sleeping on idea of letting workers take naps,?
test855,teacher s porn conviction sparks tech debate,?
test856,singapore pampers its waterfront promenade,?
test857,rwanda mulls three child limit,?
test858,samsung settles price fixing lawsuit,?
test859,radical cleric al sadr in iran u s insists,?
test860,reports harvard set to name first female president,?
test861,iraq unveils new security plans,?
test862,university offers support to new orleans school,?
test863,storm causes slick icy roads,?
test864,south korea fire kills foreigners,?
test865,prehistoric lovers found locked in eternal embrace,?
test866,charts is your city lean or lethargic,?
test867,peru leader questioned in massacre probe,?
test868,u s commander iraq not hopeless,?
test869,australian pm stands by obama attack,?
test870,mardi gras rebound in the offing for new orleans,?
test871,siestas may cut heart disease risk,?
test872,oregon snorkeler mistaken for rodent shot in face,?
test873,petraeus takes command in iraq,?
test874,dead after utah mall shooting rampage,?
test875,sharks kill four people in dull year,?
test876,record shattering day on wall st,?
test877,comedian says government silences critics,?
test878,rockers big winners at brit awards,?
test879,samba school leader killed before rio carnival,?
test880,taiwan s mr clean indicted steps down,?
test881,woman fights to keep drunken driver in jail,?
test882,al qaeda group calls for attacks on u s oil,?
test883,cousin gunman was srebrenica survivor,?
test884,turkmenistan votes for president,?
test885,here is some advice to take to heart,?
test886,don t miss tax breaks,?
test887,police break up kosovo protests,?
test888,messi makes barcelona squad return,?
test889,jump reported in accidental drug overdose deaths,?
test890,catania punished for fan violence,?
test891,isinbayeva sets th world record,?
test892,lawmakers blast fda drug safety oversight,?
test893,regular naps make hearts healthy,?
test894,ice stops trolleys cold,?
test895,u s gunman was srebrenica survivor,?
test896,outdated baby food found on shelves,?
test897,tow truck drivers accused of stealing cars,?
test898,bush it s time for congress to back energy plan,?
test899,uk soldiers cleared of iraq abuse,?
test900,fda revises label warnings on the antibiotic ketek,?
test901,toshiba portege r,?
test902,south africa mourns adelaide tambo,?
test903,evacuees can return home after plant blast,?
test904,anna nicole smith s body lies in legal limbo,?
test905,former teacher poses for playboy,?
test906,france rejects rwandan investigators,?
test907,a nap a day may keep the heart doctor away,?
test908,higley gonzalez lead in malaysia,?
test909,grammys ready to name winners,?
test910,pound will not drop armstrong case,?
test911,reunited police to start world tour in may,?
test912,turkmen acting leader sworn in as new president,?
test913,allen and okur get all star call,?
test914,svindal claims are golden double,?
test915,trolley square shooting leaves dead including gunman,?
test916,bridge blast stops i traffic,?
test917,mother daughter stabbed near school,?
test918,excerpt politicians and the press,?
test919,north korea gets money and respect,?
test920,beyonce in a bikini as si s swimsuit cover model,?
test921,loving with all your brain,?
test922,shoplifters choice police or t shirt of shame,?
test923,cuban official web a wild colt,?
test924,slow music and lyrics,?
test925,mexican navy helps in hunt for u s engineer,?
test926,smith baby may not be pot of gold,?
test927,latest updates on world s top stories,?
test928,beating leaves teen in coma,?
test929,tiempo libre has grammy dreams,?
test930,gps sneakers locate with press of a button,?
test931,embattled edwards blogger quits campaign,?
test932,britons deported from somalia held under terrorism act,?
test933,updates on world s top stories,?
test934,breast cancer drug promises hope,?
test935,ancient coin shows cleopatra was no beauty,?
test936,youtube yields surprising payback,?
test937,up to inches of snow in forecast,?
test938,werder make man ajax pay price,?
test939,eu condemns illegal cia flights,?
test940,report links humans to global warming,?
test941,un nuclear watchdog slashes iran aid,?
test942,survey tech a tool in teen dating abuse,?
test943,the breast cancer breakthrough saving women a year,?
test944,tourist spot resists gravity but not progress,?
test945,the nfl s biggest potential free agents,?
test946,world tourism sets record in,?
test947,ba to charge for an extra bag,?
test948,kuerten returns to winners circle,?
test949,world s oldest newspaper now exists only online,?
test950,japanese whaler afire in antarctic,?
test951,eu document iranian bomb unstoppable,?
test952,u s urged to lead on green actions,?
test953,see if your city is one of the united states top fittest or fattest,?
test954,lee in pre world cup injury scare,?
test955,new cancer drug to save a thousand lives a year,?
test956,ex teacher guilty in nude pictures scheme,?
test957,fire extinguisher part of tennessee execution kit,?
test958,founder returns to dell helm,?
test959,charles gibson takes over first place,?
test960,ex border patrol agent beaten in prison,?
test961,made in china irks some burberry shoppers,?
test962,stonehenge workers village found,?
test963,who is prince frederic von anhalt,?
test964,latest food fad space potatoes,?
test965,ethiopia readies for millennium all its own,?
test966,good news for slackers naps may cut risk for heart problems,?
test967,snowbirds shortening their florida stays,?
test968,win a concert date with the police,?
test969,snow begins heavy accumulations expected,?
test970,jet flips in snowstorm none dead,?
test971,frantic call in ryan o neal case,?
test972,durant s success trumps the gators,?
test973,scientist snoops in astronauts journals,?
test974,youtube founders split m payout,?
test975,african nation hopes whoopi can help,?
test976,united hang on to six point lead,?
test977,lawyer seizes smith s bahamas home,?
test978,was prince s super show too revealing,?
test979,clijsters looks for a long goodbye,?
test980,snow s too deep even for snowmobiles,?
test981,study female seals picky about mates,?
test982,roundup protests erupt despite state of siege in guinea,?
test983,study more kids exposed to online porn,?
test984,beyonce new si bikini cover girl,?
test985,marijuana helps ease hiv nerve pain study says,?
test986,serena misses bangalore tournament,?
test987,dryer blamed for fire killing cats dogs,?
test988,roddick murray score in san jose,?
test989,apple trademark dispute settled,?
test990,u s online love brokers eye china,?
test991,u s diverts troops to fight taliban,?
test992,house of cards actor ian richardson dead,?
test993,taliban leader killed in airstrike,?
test994,escape to prague without the summer hordes,?
test995,kathmandu first snow in years,?
test996,nasdaq fails in bid for lse,?
test997,ex pastor gets death sentence,?
test998,baby born on turnpike after dad misses exit,?
test999,study links chimps and hammers,?
test1000,un google earth map climate change,?
